Number1,Number2,Number3,Number4,Number5,Sequence_type
4,6.8,11.56,19.65,33.4,geometric
6,10.9,15.8,20.7,25.6,arithmetic
1,4,2,1,4,collatz
8,17.0,26.0,35.0,44.0,arithmetic
8,11.2,15.68,21.95,30.73,geometric
7,13.8,20.6,27.4,34.2,arithmetic
6,12.7,19.4,26.1,32.8,arithmetic
1,1.9,3.61,6.86,13.03,geometric
7,11.9,20.23,34.39,58.46,geometric
6,3,10,5,16,collatz
8,4,2,1,4,collatz
7,9.0,11.0,13.0,15.0,arithmetic
5,16,8,4,2,collatz
2,4.0,8.0,16.0,32.0,geometric
3,11.2,19.4,27.6,35.8,arithmetic
7,22,11,34,17,collatz
2,3,5,8,13,fibonacci
2,3.2,5.12,8.19,13.1,geometric
6,11.4,21.66,41.15,78.18,geometric
7,13.3,25.27,48.01,91.22,geometric
5,8.8,12.6,16.4,20.2,arithmetic
5,16,8,4,2,collatz
3,13.7,24.4,35.1,45.8,arithmetic
9,9.9,10.89,11.98,13.18,geometric
7,8.4,9.8,11.2,12.6,arithmetic
7,16.4,25.8,35.2,44.6,arithmetic
5,6.5,8.45,10.98,14.27,geometric
8,12.2,16.4,20.6,24.8,arithmetic
2,10.5,19.0,27.5,36.0,arithmetic
6,11.4,21.66,41.15,78.18,geometric
6,10.1,14.2,18.3,22.4,arithmetic
9,28,14,7,22,collatz
1,1.8,3.24,5.83,10.49,geometric
9,13.5,20.25,30.38,45.57,geometric
9,16.2,29.16,52.49,94.48,geometric
7,13.3,25.27,48.01,91.22,geometric
9,17.9,26.8,35.7,44.6,arithmetic
9,18.2,27.4,36.6,45.8,arithmetic
9,28,14,7,22,collatz
9,17.3,25.6,33.9,42.2,arithmetic
8,17.5,27.0,36.5,46.0,arithmetic
2,2.4,2.88,3.46,4.15,geometric
9,12.5,16.0,19.5,23.0,arithmetic
6,10.2,14.4,18.6,22.8,arithmetic
7,11.2,15.4,19.6,23.8,arithmetic
8,13,21,34,55,fibonacci
2,3,5,8,13,fibonacci
6,10.2,17.34,29.48,50.12,geometric
8,15.2,28.88,54.87,104.25,geometric
3,11.9,20.8,29.7,38.6,arithmetic
3,9.6,16.2,22.8,29.4,arithmetic
4,8.4,17.64,37.04,77.78,geometric
3,3.9,5.07,6.59,8.57,geometric
2,2.8,3.92,5.49,7.69,geometric
4,6.2,8.4,10.6,12.8,arithmetic
2,1,4,2,1,collatz
3,6.0,12.0,24.0,48.0,geometric
8,16.8,35.28,74.09,155.59,geometric
9,11.8,14.6,17.4,20.2,arithmetic
2,2.8,3.92,5.49,7.69,geometric
7,13.1,19.2,25.3,31.4,arithmetic
9,10.8,12.96,15.55,18.66,geometric
8,13.6,23.12,39.3,66.81,geometric
8,15.8,23.6,31.4,39.2,arithmetic
5,8.0,12.8,20.48,32.77,geometric
9,10.8,12.96,15.55,18.66,geometric
4,2,1,4,2,collatz
2,2.8,3.92,5.49,7.69,geometric
4,9.9,15.8,21.7,27.6,arithmetic
7,13.3,25.27,48.01,91.22,geometric
2,2.4,2.88,3.46,4.15,geometric
6,15.1,24.2,33.3,42.4,arithmetic
2,3.7,5.4,7.1,8.8,arithmetic
6,12.2,18.4,24.6,30.8,arithmetic
6,10.8,19.44,34.99,62.98,geometric
9,12.6,17.64,24.7,34.58,geometric
5,7.9,10.8,13.7,16.6,arithmetic
8,10.4,13.52,17.58,22.85,geometric
9,17.5,26.0,34.5,43.0,arithmetic
5,6.5,8.45,10.98,14.27,geometric
6,8.9,11.8,14.7,17.6,arithmetic
7,12.6,22.68,40.82,73.48,geometric
1,1.2,1.44,1.73,2.08,geometric
9,28,14,7,22,collatz
6,11.4,21.66,41.15,78.18,geometric
4,6.0,8.0,10.0,12.0,arithmetic
5,6.0,7.2,8.64,10.37,geometric
1,4,2,1,4,collatz
4,2,1,4,2,collatz
6,6.6,7.26,7.99,8.79,geometric
4,5.6,7.84,10.98,15.37,geometric
6,7.2,8.64,10.37,12.44,geometric
8,14.4,20.8,27.2,33.6,arithmetic
1,1,2,3,5,fibonacci
5,5.5,6.05,6.66,7.33,geometric
2,1,4,2,1,collatz
8,15.2,28.88,54.87,104.25,geometric
7,10.5,15.75,23.62,35.43,geometric
6,10.2,17.34,29.48,50.12,geometric
8,8.8,9.68,10.65,11.72,geometric
1,2,3,5,8,fibonacci
3,4.7,6.4,8.1,9.8,arithmetic
1,1.8,3.24,5.83,10.49,geometric
4,7.1,10.2,13.3,16.4,arithmetic
7,12.1,17.2,22.3,27.4,arithmetic
5,9.4,13.8,18.2,22.6,arithmetic
2,3.4,5.78,9.83,16.71,geometric
3,4.8,7.68,12.29,19.66,geometric
4,4.8,5.76,6.91,8.29,geometric
6,7.8,10.14,13.18,17.13,geometric
9,14.4,23.04,36.86,58.98,geometric
3,4.5,6.75,10.12,15.18,geometric
3,6.0,12.0,24.0,48.0,geometric
5,11.7,18.4,25.1,31.8,arithmetic
5,9.0,16.2,29.16,52.49,geometric
4,5.8,7.6,9.4,11.2,arithmetic
1,1.5,2.25,3.38,5.07,geometric
7,12.6,22.68,40.82,73.48,geometric
6,7.4,8.8,10.2,11.6,arithmetic
6,9.6,15.36,24.58,39.33,geometric
8,9.6,11.52,13.82,16.58,geometric
8,12.3,16.6,20.9,25.2,arithmetic
6,9.1,12.2,15.3,18.4,arithmetic
1,1.2,1.44,1.73,2.08,geometric
6,11.9,17.8,23.7,29.6,arithmetic
5,9.5,18.05,34.3,65.17,geometric
5,7.0,9.8,13.72,19.21,geometric
5,10.0,20.0,40.0,80.0,geometric
8,9.8,11.6,13.4,15.2,arithmetic
2,7.2,12.4,17.6,22.8,arithmetic
1,4,2,1,4,collatz
7,8.8,10.6,12.4,14.2,arithmetic
9,13.5,20.25,30.38,45.57,geometric
4,11.5,19.0,26.5,34.0,arithmetic
9,11.6,14.2,16.8,19.4,arithmetic
1,2,3,5,8,fibonacci
8,11.0,14.0,17.0,20.0,arithmetic
4,14.6,25.2,35.8,46.4,arithmetic
7,11.2,15.4,19.6,23.8,arithmetic
6,6.6,7.26,7.99,8.79,geometric
8,18.5,29.0,39.5,50.0,arithmetic
9,10.1,11.2,12.3,13.4,arithmetic
1,1.3,1.69,2.2,2.86,geometric
5,9.0,16.2,29.16,52.49,geometric
9,12.6,17.64,24.7,34.58,geometric
5,7.0,9.8,13.72,19.21,geometric
9,11.7,15.21,19.77,25.7,geometric
7,17.6,28.2,38.8,49.4,arithmetic
2,1,4,2,1,collatz
4,5.6,7.84,10.98,15.37,geometric
1,1.5,2.25,3.38,5.07,geometric
5,10.2,15.4,20.6,25.8,arithmetic
2,3.8,7.22,13.72,26.07,geometric
1,1,2,3,5,fibonacci
3,6.2,9.4,12.6,15.8,arithmetic
9,15.5,22.0,28.5,35.0,arithmetic
5,15.6,26.2,36.8,47.4,arithmetic
7,10.5,15.75,23.62,35.43,geometric
2,3,5,8,13,fibonacci
2,3,5,8,13,fibonacci
6,10.8,19.44,34.99,62.98,geometric
2,8.5,15.0,21.5,28.0,arithmetic
2,3,5,8,13,fibonacci
1,2,3,5,8,fibonacci
1,10.7,20.4,30.1,39.8,arithmetic
8,13.0,18.0,23.0,28.0,arithmetic
6,7.8,10.14,13.18,17.13,geometric
3,11.5,20.0,28.5,37.0,arithmetic
7,8.2,9.4,10.6,11.8,arithmetic
8,12.8,17.6,22.4,27.2,arithmetic
1,7.3,13.6,19.9,26.2,arithmetic
2,12.5,23.0,33.5,44.0,arithmetic
5,6.0,7.2,8.64,10.37,geometric
2,3,5,8,13,fibonacci
5,10.7,16.4,22.1,27.8,arithmetic
7,12.4,17.8,23.2,28.6,arithmetic
5,15.5,26.0,36.5,47.0,arithmetic
1,1,2,3,5,fibonacci
9,12.0,15.0,18.0,21.0,arithmetic
9,14.4,23.04,36.86,58.98,geometric
1,2,3,5,8,fibonacci
6,8.8,11.6,14.4,17.2,arithmetic
1,4.0,7.0,10.0,13.0,arithmetic
1,1.4,1.96,2.74,3.84,geometric
2,3.4,5.78,9.83,16.71,geometric
4,6.0,9.0,13.5,20.25,geometric
3,5,8,13,21,fibonacci
6,12.0,24.0,48.0,96.0,geometric
5,9.0,16.2,29.16,52.49,geometric
7,12.6,18.2,23.8,29.4,arithmetic
1,3.0,5.0,7.0,9.0,arithmetic
7,7.7,8.47,9.32,10.25,geometric
9,18.0,27.0,36.0,45.0,arithmetic
5,16,8,4,2,collatz
8,10.4,12.8,15.2,17.6,arithmetic
2,1,4,2,1,collatz
4,6.4,10.24,16.38,26.21,geometric
8,16.0,32.0,64.0,128.0,geometric
7,15.0,23.0,31.0,39.0,arithmetic
13,21,34,55,89,fibonacci
7,17.0,27.0,37.0,47.0,arithmetic
2,3.8,7.22,13.72,26.07,geometric
7,11.2,17.92,28.67,45.87,geometric
2,10.6,19.2,27.8,36.4,arithmetic
1,1.3,1.69,2.2,2.86,geometric
9,13.6,18.2,22.8,27.4,arithmetic
5,7.4,9.8,12.2,14.6,arithmetic
1,4,2,1,4,collatz
2,3.2,5.12,8.19,13.1,geometric
8,9.6,11.52,13.82,16.58,geometric
1,3.9,6.8,9.7,12.6,arithmetic
3,6.5,10.0,13.5,17.0,arithmetic
8,13,21,34,55,fibonacci
7,9.1,11.83,15.38,19.99,geometric
7,16.9,26.8,36.7,46.6,arithmetic
4,13.3,22.6,31.9,41.2,arithmetic
6,10.2,17.34,29.48,50.12,geometric
6,7.9,9.8,11.7,13.6,arithmetic
5,16,8,4,2,collatz
7,15.5,24.0,32.5,41.0,arithmetic
2,1,4,2,1,collatz
8,13,21,34,55,fibonacci
4,2,1,4,2,collatz
1,3.2,5.4,7.6,9.8,arithmetic
2,3,5,8,13,fibonacci
7,9.5,12.0,14.5,17.0,arithmetic
7,10.7,14.4,18.1,21.8,arithmetic
4,5.3,6.6,7.9,9.2,arithmetic
13,21,34,55,89,fibonacci
9,13.5,18.0,22.5,27.0,arithmetic
7,9.7,12.4,15.1,17.8,arithmetic
6,12.0,24.0,48.0,96.0,geometric
7,14.6,22.2,29.8,37.4,arithmetic
1,1.4,1.96,2.74,3.84,geometric
2,3,5,8,13,fibonacci
1,1.7,2.89,4.91,8.35,geometric
8,13,21,34,55,fibonacci
1,8.1,15.2,22.3,29.4,arithmetic
3,5.4,9.72,17.5,31.5,geometric
8,4,2,1,4,collatz
4,2,1,4,2,collatz
6,3,10,5,16,collatz
2,3,5,8,13,fibonacci
13,21,34,55,89,fibonacci
9,10.8,12.96,15.55,18.66,geometric
7,8.9,10.8,12.7,14.6,arithmetic
3,10.7,18.4,26.1,33.8,arithmetic
1,1.2,1.44,1.73,2.08,geometric
6,16.3,26.6,36.9,47.2,arithmetic
2,3,5,8,13,fibonacci
